Protocol,Size,Rate,Bandwidth,Loss,Delay,ConfigDelay_ms,DeliveryRatio,LatencyAvg_ms,Jitter_ms,Throughput_bps,Timestamp
xmpp-qos0,16,10,100kbit,1%,0ms,0,100.0,2.7300071716308594,4.143531459184531,1280.0,1765110809.124915
xmpp-qos0,16,10,100kbit,1%,20ms,20,31.0,26.322580152942287,7.639329720292805,396.8,1765110817.690222
xmpp-qos0,16,1,50kbit,0%,0ms,0,100.0,7.699990272521973,6.000976063434094,128.0,1765110880.976948
xmpp-qos0,16,1,50kbit,0%,20ms,20,100.0,36.80002689361572,22.094798168526534,128.0,1765110901.816371
xmpp-qos0,16,1,50kbit,0%,100ms,100,100.0,124.20003414154053,62.52253393084823,128.0,1765110923.5784519
xmpp-qos0,16,1,50kbit,0%,500ms,500,100.0,844.7999954223633,469.51839608447074,128.0,1765110951.8745449
xmpp-qos0,16,1,50kbit,1%,0ms,0,100.0,3.099989891052246,2.601287708239481,128.0,1765110971.986859
xmpp-qos0,16,1,50kbit,1%,20ms,20,100.0,27.299976348876953,12.028169181961823,128.0,1765110992.20683
xmpp-qos0,16,1,50kbit,1%,100ms,100,100.0,125.0999927520752,62.17799012308566,128.0,1765111013.793663
xmpp-qos0,16,1,50kbit,1%,500ms,500,100.0,839.1999959945679,469.0014931943164,128.0,1765111041.943915
xmpp-qos0,16,1,50kbit,5%,0ms,0,100.0,2.700018882751465,1.0593656543581742,128.0,1765111062.2458398
xmpp-qos0,16,1,50kbit,5%,20ms,20,100.0,29.999995231628418,11.264435292831527,128.0,1765111082.9030662
xmpp-qos0,16,1,50kbit,5%,100ms,100,100.0,169.1999912261963,206.53963096795664,128.0,1765111104.44592
xmpp-qos0,16,1,50kbit,5%,500ms,500,0.0,0,0,0.0,1765111117.9419389
xmpp-qos0,16,1,50kbit,10%,0ms,0,100.0,54.90002632141113,93.21113439751807,128.0,1765111137.9891012
xmpp-qos0,16,1,50kbit,10%,20ms,20,100.0,580.5999755859375,974.6508261807177,128.0,1765111159.1278799
xmpp-qos0,16,1,50kbit,10%,100ms,100,100.0,207.89997577667236,175.15229129925666,128.0,1765111181.313088
xmpp-qos0,16,1,50kbit,10%,500ms,500,100.0,2195.2000617980957,1383.394657786579,128.0,1765111209.399314
xmpp-qos0,16,1,100kbit,0%,0ms,0,100.0,2.79998779296875,1.549193916265042,128.0,1765111229.172569
xmpp-qos0,16,1,100kbit,0%,20ms,20,100.0,27.39996910095215,13.023109720269355,128.0,1765111249.447674
xmpp-qos0,16,1,100kbit,0%,100ms,100,100.0,123.30000400543213,65.60494103753543,128.0,1765111271.163807
xmpp-qos0,16,1,100kbit,0%,500ms,500,100.0,844.4000244140625,466.816206237097,128.0,1765111298.99323
