Protocol,Size,Rate,Bandwidth,Loss,Delay,ConfigDelay_ms,DeliveryRatio,LatencyAvg_ms,Jitter_ms,Throughput_bps,Timestamp
amqp-qos1,16,10,100kbit,10%,20ms,20,0.0,0,0,0.0,1765110804.0009868
amqp-qos1,16,10,100kbit,10%,100ms,100,0.0,0,0,0.0,1765110808.7679622
amqp-qos1,16,10,100kbit,10%,500ms,500,0.0,0,0,0.0,1765110815.802062
amqp-qos1,16,1,50kbit,0%,0ms,0,100.0,5.100011825561523,3.4140118107417496,128.0,1765110882.5112588
amqp-qos1,16,1,50kbit,0%,20ms,20,100.0,29.50000762939453,18.173580149271654,128.0,1765110903.475164
amqp-qos1,16,1,50kbit,0%,100ms,100,190.0,103.36843289827046,3.218170211775499,243.2,1765110924.6136398
amqp-qos1,16,1,50kbit,0%,500ms,500,250.0,907.9999542236328,514.6287313115616,320.0,1765110954.9379132
amqp-qos1,16,1,50kbit,1%,0ms,0,100.0,1.699995994567871,0.9487122751939047,128.0,1765110974.3370109
amqp-qos1,16,1,50kbit,1%,20ms,20,100.0,22.799992561340332,1.549214437088355,128.0,1765110994.098772
amqp-qos1,16,1,50kbit,1%,100ms,100,100.0,105.09998798370361,2.0248441370113404,128.0,1765111015.93914
amqp-qos1,16,1,50kbit,1%,500ms,500,100.0,502.90000438690186,0.9944607478491739,128.0,1765111045.364636
amqp-qos1,16,1,50kbit,5%,0ms,0,100.0,42.80002117156982,129.37524830869006,128.0,1765111064.948171
amqp-qos1,16,1,50kbit,5%,20ms,20,100.0,24.699997901916504,1.6363783176351823,128.0,1765111085.0852458
amqp-qos1,16,1,50kbit,5%,100ms,100,100.0,144.29998397827148,129.2043979863017,128.0,1765111106.365557
amqp-qos1,16,1,50kbit,5%,500ms,500,100.0,700.4999876022339,476.7419921012748,128.0,1765111139.637362
amqp-qos1,16,1,50kbit,10%,0ms,0,100.0,2.79998779296875,1.6865452229454008,128.0,1765111160.773176
amqp-qos1,16,1,50kbit,10%,20ms,20,100.0,263.0999803543091,535.6348872340866,128.0,1765111184.312545
amqp-qos1,16,1,50kbit,10%,100ms,100,100.0,162.2999668121338,180.18819930436084,128.0,1765111208.1298938
amqp-qos1,16,1,50kbit,10%,500ms,500,100.0,1709.2000484466553,1231.8592662865378,128.0,1765111238.4743621
amqp-qos1,16,1,100kbit,0%,0ms,0,100.0,11.899995803833008,14.805772206745848,128.0,1765111257.764446
amqp-qos1,16,1,100kbit,0%,20ms,20,100.0,22.60005474090576,0.966114996975983,128.0,1765111277.5212889
amqp-qos1,16,1,100kbit,0%,100ms,100,100.0,103.10003757476807,2.4244174463109602,128.0,1765111298.980263
amqp-qos1,16,1,100kbit,0%,500ms,500,100.0,505.3999900817871,5.015546087901449,128.0,1765111328.4787788
amqp-qos1,16,1,100kbit,1%,0ms,0,100.0,22.39997386932373,65.22132271744503,128.0,1765111347.7253299
amqp-qos1,16,1,100kbit,1%,20ms,20,100.0,23.699951171875,3.0930013644024212,128.0,1765111367.793277
amqp-qos1,16,1,100kbit,1%,100ms,100,100.0,103.69999408721924,2.584193271237864,128.0,1765111389.3366249
amqp-qos1,16,1,100kbit,1%,500ms,500,100.0,505.80005645751953,4.157950815593158,128.0,1765111418.9336278
amqp-qos1,16,1,100kbit,5%,0ms,0,100.0,11.00003719329834,11.981461050580357,128.0,1765111438.63271
amqp-qos1,16,1,100kbit,5%,20ms,20,100.0,24.09994602203369,2.685343025798658,128.0,1765111458.569472
amqp-qos1,16,1,100kbit,5%,100ms,100,100.0,148.10004234313965,132.85367175714373,128.0,1765111480.8054929
amqp-qos1,16,1,100kbit,5%,500ms,500,100.0,1307.3000192642212,1136.0438525932443,128.0,1765111512.373528
amqp-qos1,16,1,100kbit,10%,0ms,0,100.0,52.899980545043945,107.83984594200109,128.0,1765111531.732716
amqp-qos1,16,1,100kbit,10%,20ms,20,100.0,24.300026893615723,2.4966691708490507,128.0,1765111553.6874502
amqp-qos1,16,1,100kbit,10%,100ms,100,100.0,103.19995880126953,2.299725378300795,128.0,1765111578.0624561
amqp-qos1,16,1,100kbit,10%,500ms,500,100.0,646.4000225067139,450.6746464350202,128.0,1765111611.157335
amqp-qos1,16,1,250kbit,0%,0ms,0,100.0,3.2999753952026367,1.1595388587410103,128.0,1765111631.0882611
amqp-qos1,16,1,250kbit,0%,20ms,20,100.0,22.899985313415527,1.7288820467641872,128.0,1765111650.9058418
amqp-qos1,16,1,250kbit,0%,100ms,100,100.0,103.99997234344482,1.9436324260665276,128.0,1765111672.084301
amqp-qos1,16,1,250kbit,0%,500ms,500,100.0,503.00004482269287,1.699705841223165,128.0,1765111701.8833249
amqp-qos1,16,1,250kbit,1%,0ms,0,100.0,1.7000198364257812,1.337491642411347,128.0,1765111721.196407
amqp-qos1,16,1,250kbit,1%,20ms,20,100.0,24.79996681213379,3.7058242492677405,128.0,1765111741.1363149
amqp-qos1,16,1,250kbit,1%,100ms,100,100.0,104.19998168945312,3.359838306561504,128.0,1765111762.647275
amqp-qos1,16,1,250kbit,1%,500ms,500,100.0,503.69999408721924,1.702928773151828,128.0,1765111792.151346
amqp-qos1,16,1,250kbit,5%,0ms,0,100.0,22.699975967407227,64.76291561922403,128.0,1765111811.571179
amqp-qos1,16,1,250kbit,5%,20ms,20,100.0,48.30002784729004,78.61447540399388,128.0,1765111831.62847
amqp-qos1,16,1,250kbit,5%,100ms,100,100.0,106.10003471374512,3.5730670527123047,128.0,1765111853.124075
amqp-qos1,16,1,250kbit,5%,500ms,500,100.0,1261.899995803833,851.2319686126201,128.0,1765111882.568649
amqp-qos1,16,1,250kbit,10%,0ms,0,100.0,83.50000381469727,143.34744930107053,128.0,1765111902.150304
amqp-qos1,16,1,250kbit,10%,20ms,20,100.0,54.50000762939453,90.20003828370211,128.0,1765111922.2781792
amqp-qos1,16,1,250kbit,10%,100ms,100,100.0,150.1000165939331,147.55143098309827,128.0,1765111944.26685
amqp-qos1,16,1,250kbit,10%,500ms,500,100.0,2191.3999795913696,1796.8230922307266,128.0,1765111982.69079
amqp-qos1,16,1,1mbit,0%,0ms,0,100.0,1.1999845504760742,1.0328079146498836,128.0,1765112002.068467
amqp-qos1,16,1,1mbit,0%,20ms,20,100.0,24.200010299682617,2.347554386153843,128.0,1765112021.799207
amqp-qos1,16,1,1mbit,0%,100ms,100,100.0,107.2000503540039,4.802728930917412,128.0,1765112043.486461
amqp-qos1,16,1,1mbit,0%,500ms,500,100.0,503.70004177093506,2.002814549876773,128.0,1765112072.927039
amqp-qos1,16,1,1mbit,1%,0ms,0,100.0,3.2000064849853516,4.315310761941961,128.0,1765112092.497529
amqp-qos1,16,1,1mbit,1%,20ms,20,100.0,22.699952125549316,2.311845302794178,128.0,1765112112.3443189
amqp-qos1,16,1,1mbit,1%,100ms,100,100.0,189.59996700286865,262.4970351314576,128.0,1765112133.788393
amqp-qos1,16,1,1mbit,1%,500ms,500,100.0,513.6999368667603,19.465381096098177,128.0,1765112163.440557
amqp-qos1,16,1,1mbit,5%,0ms,0,100.0,42.70000457763672,87.38937087931417,128.0,1765112183.057643
amqp-qos1,16,1,1mbit,5%,20ms,20,100.0,22.699975967407227,1.7670089567531284,128.0,1765112202.8865652
