Protocol,Size,Rate,Bandwidth,Loss,Delay,ConfigDelay_ms,DeliveryRatio,LatencyAvg_ms,Jitter_ms,Throughput_bps,Timestamp
xmpp-qos1,16,1,1mbit,0%,100ms,100,100.0,126.59997940063477,65.22305423683488,128.0,1765112018.826154
xmpp-qos1,16,1,1mbit,0%,500ms,500,100.0,837.0000123977661,470.72830618633856,128.0,1765112046.944009
xmpp-qos1,16,1,1mbit,1%,0ms,0,100.0,2.700018882751465,2.4516730427518496,128.0,1765112066.855198
xmpp-qos1,16,1,1mbit,1%,20ms,20,100.0,28.20003032684326,13.766263242782589,128.0,1765112087.1573918
xmpp-qos1,16,1,1mbit,1%,100ms,100,100.0,123.50001335144043,64.83528744227331,128.0,1765112110.123381
xmpp-qos1,16,1,1mbit,1%,500ms,500,100.0,839.6000146865845,466.7074547810003,128.0,1765112138.0834858
xmpp-qos1,16,1,1mbit,5%,0ms,0,100.0,100.00004768371582,157.01025333929346,128.0,1765112158.7749262
xmpp-qos1,16,1,1mbit,5%,20ms,20,100.0,78.99999618530273,104.00639879484258,128.0,1765112179.1759412
xmpp-qos1,16,1,1mbit,5%,100ms,100,100.0,123.9999771118164,63.60637616569081,128.0,1765112201.101082
xmpp-qos1,16,1,1mbit,5%,500ms,500,100.0,1107.1999788284302,825.942573087592,128.0,1765112231.112503
xmpp-qos1,16,1,1mbit,10%,0ms,0,100.0,2.999997138977051,3.2998654282964046,128.0,1765112251.242261
xmpp-qos1,16,1,1mbit,10%,20ms,20,100.0,56.89997673034668,81.16985521159611,128.0,1765112271.808176
xmpp-qos1,16,1,1mbit,10%,100ms,100,100.0,253.69997024536133,281.7993724600787,128.0,1765112294.381865
xmpp-qos1,16,1,1mbit,10%,500ms,500,100.0,1876.0999917984009,696.2754872841867,128.0,1765112326.085543
xmpp-qos1,16,10,50kbit,0%,0ms,0,100.0,2.1200132369995117,2.1708758768670893,1280.0,1765112346.3016121
xmpp-qos1,16,10,50kbit,0%,20ms,20,100.0,23.660004138946533,4.274009171643593,1280.0,1765112366.6276119
xmpp-qos1,16,10,50kbit,0%,100ms,100,100.0,198.10999870300293,65.13295280786791,1280.0,1765112387.945461
xmpp-qos1,16,10,50kbit,0%,500ms,500,100.0,1021.2999868392944,293.2043288021664,1280.0,1765112416.33185
xmpp-qos1,16,10,50kbit,1%,0ms,0,100.0,2.949998378753662,11.386129822843799,1280.0,1765112436.251402
xmpp-qos1,16,10,50kbit,1%,20ms,20,100.0,29.980006217956543,36.91323213173827,1280.0,1765112456.910645
xmpp-qos1,16,10,50kbit,1%,100ms,100,100.0,200.97999811172485,55.24855912113089,1280.0,1765112478.642312
xmpp-qos1,16,10,50kbit,1%,500ms,500,100.0,1039.060025215149,292.6342902290586,1280.0,1765112506.8200252
xmpp-qos1,16,10,50kbit,5%,0ms,0,100.0,38.01001310348511,84.73578563698334,1280.0,1765112527.131228
xmpp-qos1,16,10,50kbit,5%,20ms,20,100.0,91.90999746322632,123.58869620126896,1280.0,1765112547.479771
