Protocol,Size,Rate,Bandwidth,Loss,Delay,ConfigDelay_ms,DeliveryRatio,LatencyAvg_ms,Jitter_ms,Throughput_bps,Timestamp
coap-non,16,1,100kbit,1%,100ms,100,100.0,108.60002040863037,15.012586899372735,128.0,1765111289.56399
coap-non,16,1,100kbit,1%,500ms,500,100.0,510.2999687194824,16.11791072247835,128.0,1765111309.265026
coap-non,16,1,100kbit,5%,0ms,0,100.0,9.50005054473877,19.962447797083737,128.0,1765111329.070571
coap-non,16,1,100kbit,5%,20ms,20,100.0,28.399991989135742,14.43915198590449,128.0,1765111348.71998
coap-non,16,1,100kbit,5%,100ms,100,90.0,109.44445927937825,17.176357321290183,115.2,1765111368.465076
coap-non,16,1,100kbit,5%,500ms,500,100.0,512.3999118804932,23.580620567455604,128.0,1765111388.15181
coap-non,16,1,100kbit,10%,0ms,0,80.0,10.500013828277588,15.946344737283317,102.4,1765111407.7954519
coap-non,16,1,100kbit,10%,20ms,20,90.0,29.33330006069607,14.611678836117763,115.2,1765111427.9123259
coap-non,16,1,100kbit,10%,100ms,100,90.0,114.88890647888184,31.962665281883858,115.2,1765111448.082162
coap-non,16,1,100kbit,10%,500ms,500,80.0,511.49997115135193,20.431097472092713,102.4,1765111467.816512
coap-non,16,1,250kbit,0%,0ms,0,100.0,8.000016212463379,16.92466232457099,128.0,1765111487.482406
coap-non,16,1,250kbit,0%,20ms,20,100.0,29.50000762939453,13.721372948105143,128.0,1765111507.0854201
coap-non,16,1,250kbit,0%,100ms,100,100.0,111.00003719329834,17.863673797480775,128.0,1765111526.848993
coap-non,16,1,250kbit,0%,500ms,500,100.0,508.40001106262207,14.112277914287562,128.0,1765111546.5664058
coap-non,16,1,250kbit,1%,0ms,0,100.0,8.20002555847168,17.887293225982468,128.0,1765111566.400666
coap-non,16,1,250kbit,1%,20ms,20,100.0,27.79998779296875,12.856444972369374,128.0,1765111586.172329
coap-non,16,1,250kbit,1%,100ms,100,100.0,108.50002765655518,14.661009788833178,128.0,1765111605.985827
coap-non,16,1,250kbit,1%,500ms,500,100.0,510.40003299713135,13.882034251323027,128.0,1765111625.7797089
