Protocol,Size,Rate,Bandwidth,Loss,Delay,ConfigDelay_ms,DeliveryRatio,LatencyAvg_ms,Jitter_ms,Throughput_bps,Timestamp
amqp-qos0,16,1,100kbit,1%,20ms,20,100.0,23.099994659423828,1.9118952774546756,128.0,1765110810.3256261
amqp-qos0,16,1,100kbit,1%,100ms,100,20.0,128.49998474121094,27.577188742860095,25.6,1765110817.703573
amqp-qos0,16,1,50kbit,0%,0ms,0,100.0,7.800006866455078,13.222818554796948,128.0,1765110882.078633
amqp-qos0,16,1,50kbit,0%,20ms,20,100.0,32.200002670288086,22.139990284897202,128.0,1765110903.016031
amqp-qos0,16,1,50kbit,0%,100ms,100,100.0,103.70001792907715,3.267667342997946,128.0,1765110924.2726521
amqp-qos0,16,1,50kbit,0%,500ms,500,100.0,513.8999938964844,18.027426210806187,128.0,1765110953.45608
amqp-qos0,16,1,50kbit,1%,0ms,0,100.0,2.6000499725341797,1.776393812026467,128.0,1765110972.821337
amqp-qos0,16,1,50kbit,1%,20ms,20,100.0,22.900032997131348,1.1005960802435517,128.0,1765110992.525813
amqp-qos0,16,1,50kbit,1%,100ms,100,100.0,104.30002212524414,3.5291867826672254,128.0,1765111013.793232
amqp-qos0,16,1,50kbit,1%,500ms,500,100.0,504.90002632141113,3.3813785785584076,128.0,1765111042.4118688
amqp-qos0,16,1,50kbit,5%,0ms,0,100.0,1.999974250793457,1.1547086170970646,128.0,1765111062.0082078
amqp-qos0,16,1,50kbit,5%,20ms,20,100.0,24.399995803833008,3.4383385711333605,128.0,1765111082.6010702
amqp-qos0,16,1,50kbit,5%,100ms,100,100.0,104.00004386901855,2.1602742706806826,128.0,1765111104.4450612
amqp-qos0,16,1,50kbit,5%,500ms,500,100.0,503.5999536514282,2.4585566375760215,128.0,1765111133.9220312
amqp-qos0,16,1,50kbit,10%,0ms,0,100.0,2.099943161010742,1.5238708281578366,128.0,1765111153.847726
amqp-qos0,16,1,50kbit,10%,20ms,20,100.0,73.8999605178833,105.4856437246427,128.0,1765111175.2716959
amqp-qos0,16,1,50kbit,10%,100ms,100,100.0,228.80001068115234,201.4303307892821,128.0,1765111198.280992
amqp-qos0,16,1,50kbit,10%,500ms,500,100.0,1570.4999923706055,1780.5648984967793,128.0,1765111226.6888618
amqp-qos0,16,1,100kbit,0%,0ms,0,100.0,1.2999773025512695,0.4830712163299337,128.0,1765111245.744329
amqp-qos0,16,1,100kbit,0%,20ms,20,100.0,27.59995460510254,14.423706532406364,128.0,1765111265.951637
amqp-qos0,16,1,100kbit,0%,100ms,100,100.0,103.09998989105225,2.6012632678423326,128.0,1765111287.3017879
amqp-qos0,16,1,100kbit,0%,500ms,500,100.0,504.6999931335449,3.7727178498700216,128.0,1765111315.699528
amqp-qos0,16,1,100kbit,1%,0ms,0,100.0,1.999974250793457,1.2471924561679781,128.0,1765111335.136843
amqp-qos0,16,1,100kbit,1%,20ms,20,100.0,22.699999809265137,1.9464705563108224,128.0,1765111354.8827279
amqp-qos0,16,1,100kbit,1%,100ms,100,100.0,106.19993209838867,6.069958956326553,128.0,1765111376.0617201
amqp-qos0,16,1,100kbit,1%,500ms,500,100.0,505.9000253677368,6.1725225709109095,128.0,1765111404.496258
amqp-qos0,16,1,100kbit,5%,0ms,0,100.0,2.500033378601074,0.9717685109515842,128.0,1765111424.22342
amqp-qos0,16,1,100kbit,5%,20ms,20,100.0,51.49998664855957,81.3951292545864,128.0,1765111445.150338
amqp-qos0,16,1,100kbit,5%,100ms,100,100.0,151.30000114440918,153.79860079919027,128.0,1765111468.316326
amqp-qos0,16,1,100kbit,5%,500ms,500,100.0,505.9000015258789,5.30094790288756,128.0,1765111498.401074
amqp-qos0,16,1,100kbit,10%,0ms,0,100.0,22.599983215332035,66.55362304786348,128.0,1765111517.8165
