Protocol,Size,Rate,Bandwidth,Loss,Delay,ConfigDelay_ms,DeliveryRatio,LatencyAvg_ms,Jitter_ms,Throughput_bps,Timestamp
mqtt-qos1,16,1,100kbit,5%,0ms,0,100.0,1.2999773025512695,0.9486731836013347,128.0,1765110799.9415848
mqtt-qos1,16,1,100kbit,5%,20ms,20,100.0,72.09997177124023,105.10037600545107,128.0,1765110817.234771
mqtt-qos1,16,1,50kbit,0%,0ms,0,100.0,1.7999649047851562,2.347561156347151,128.0,1765110862.527286
mqtt-qos1,16,1,50kbit,0%,20ms,20,100.0,26.600027084350586,7.229590160817399,128.0,1765110882.59049
mqtt-qos1,16,1,50kbit,0%,100ms,100,100.0,110.00006198883057,15.282555702882831,128.0,1765110903.4436631
mqtt-qos1,16,1,50kbit,0%,500ms,500,100.0,511.4999771118164,4.57650831369279,128.0,1765110924.747466
mqtt-qos1,16,1,50kbit,1%,0ms,0,100.0,3.599977493286133,3.5652438844514913,128.0,1765110946.307404
mqtt-qos1,16,1,50kbit,1%,20ms,20,100.0,23.30000400543213,1.766998461849404,128.0,1765110966.64364
mqtt-qos1,16,1,50kbit,1%,100ms,100,100.0,103.70001792907715,3.056913760589528,128.0,1765110986.3150148
mqtt-qos1,16,1,50kbit,1%,500ms,500,100.0,510.90002059936523,3.7550095291632677,128.0,1765111008.093599
mqtt-qos1,16,1,50kbit,5%,0ms,0,100.0,23.999953269958496,68.90414596968395,128.0,1765111027.674197
mqtt-qos1,16,1,50kbit,5%,20ms,20,100.0,48.200035095214844,80.42219006012886,128.0,1765111047.2482271
mqtt-qos1,16,1,50kbit,5%,100ms,100,100.0,101.99999809265137,1.4907283373013203,128.0,1765111067.366338
mqtt-qos1,16,1,50kbit,5%,500ms,500,100.0,2388.2999897003174,2535.913302846112,128.0,1765111089.791208
mqtt-qos1,16,1,50kbit,10%,0ms,0,100.0,24.000048637390137,69.2306594527774,128.0,1765111109.0187972
mqtt-qos1,16,1,50kbit,10%,20ms,20,100.0,46.99997901916504,78.71332238731732,128.0,1765111129.094283
mqtt-qos1,16,1,50kbit,10%,100ms,100,100.0,152.39999294281006,157.28055231292433,128.0,1765111149.228724
mqtt-qos1,16,1,50kbit,10%,500ms,500,100.0,1415.9000158309937,1339.2632414618588,128.0,1765111172.9039822
mqtt-qos1,16,1,100kbit,0%,0ms,0,100.0,3.000020980834961,3.0912135024520855,128.0,1765111192.470413
mqtt-qos1,16,1,100kbit,0%,20ms,20,100.0,23.000001907348633,1.3333360364467688,128.0,1765111212.1645598
mqtt-qos1,16,1,100kbit,0%,100ms,100,100.0,103.40001583099365,2.065595305163964,128.0,1765111232.194643
mqtt-qos1,16,1,100kbit,0%,500ms,500,100.0,518.4999704360962,6.041512621913803,128.0,1765111253.487999
mqtt-qos1,16,1,100kbit,1%,0ms,0,100.0,1.199936866760254,1.2292438386770326,128.0,1765111273.118676
mqtt-qos1,16,1,100kbit,1%,20ms,20,100.0,23.49996566772461,1.1785157995707423,128.0,1765111292.883171
mqtt-qos1,16,1,100kbit,1%,100ms,100,100.0,103.19998264312744,2.2010236593902093,128.0,1765111312.959085
mqtt-qos1,16,1,100kbit,1%,500ms,500,100.0,514.8999691009521,8.020042305921342,128.0,1765111334.5613492
mqtt-qos1,16,1,100kbit,5%,0ms,0,100.0,1.5999555587768555,0.6992006935080716,128.0,1765111354.226282
mqtt-qos1,16,1,100kbit,5%,20ms,20,100.0,23.10004234313965,2.183206119884008,128.0,1765111374.0593102
mqtt-qos1,16,1,100kbit,5%,100ms,100,100.0,103.09998989105225,2.131761145568902,128.0,1765111394.173663
mqtt-qos1,16,1,100kbit,5%,500ms,500,100.0,638.7999773025513,274.71424787349457,128.0,1765111415.533481
mqtt-qos1,16,1,100kbit,10%,0ms,0,100.0,45.800018310546875,84.06843711850725,128.0,1765111435.324298
mqtt-qos1,16,1,100kbit,10%,20ms,20,100.0,72.69997596740723,158.57492268658586,128.0,1765111455.1186361
mqtt-qos1,16,1,100kbit,10%,100ms,100,100.0,103.90002727508545,1.9119049759942475,128.0,1765111475.252487
mqtt-qos1,16,1,100kbit,10%,500ms,500,100.0,2107.800006866455,1578.4937044848073,128.0,1765111527.9091468
mqtt-qos1,16,1,250kbit,0%,0ms,0,100.0,1.699995994567871,0.9486843537432338,128.0,1765111547.6288068
mqtt-qos1,16,1,250kbit,0%,20ms,20,100.0,22.699975967407227,0.8232579857428538,128.0,1765111567.394203
mqtt-qos1,16,1,250kbit,0%,100ms,100,100.0,102.89998054504395,1.7288406758963095,128.0,1765111587.478503
mqtt-qos1,16,1,250kbit,0%,500ms,500,100.0,510.80000400543213,3.938489874202462,128.0,1765111609.1946712
mqtt-qos1,16,1,250kbit,1%,0ms,0,100.0,2.899932861328125,2.2335696283511504,128.0,1765111629.154229
mqtt-qos1,16,1,250kbit,1%,20ms,20,100.0,23.10001850128174,2.330962923103355,128.0,1765111648.823083
mqtt-qos1,16,1,250kbit,1%,100ms,100,100.0,103.50003242492676,1.840889591703504,128.0,1765111669.217613
mqtt-qos1,16,1,250kbit,1%,500ms,500,100.0,740.6999826431274,541.0455000659618,128.0,1765111691.7983732
mqtt-qos1,16,1,250kbit,5%,0ms,0,100.0,22.099995613098145,65.68523299078674,128.0,1765111711.44549
mqtt-qos1,16,1,250kbit,5%,20ms,20,100.0,49.20003414154053,79.15213882896641,128.0,1765111731.116033
mqtt-qos1,16,1,250kbit,5%,100ms,100,100.0,103.10003757476807,2.643624404732541,128.0,1765111751.78985
mqtt-qos1,16,1,250kbit,5%,500ms,500,100.0,504.6000003814697,2.065654300325444,128.0,1765111773.532733
mqtt-qos1,16,1,250kbit,10%,0ms,0,100.0,24.499988555908203,64.71002279888972,128.0,1765111793.221809
mqtt-qos1,16,1,250kbit,10%,20ms,20,100.0,24.80001449584961,4.104212035699294,128.0,1765111812.8991401
mqtt-qos1,16,1,250kbit,10%,100ms,100,100.0,189.80000019073486,182.48032585434595,128.0,1765111832.930285
mqtt-qos1,16,1,250kbit,10%,500ms,500,100.0,5060.699963569641,2803.6896703711736,128.0,1765111854.215092
mqtt-qos1,16,1,1mbit,0%,0ms,0,100.0,1.2999773025512695,0.8232805104542525,128.0,1765111873.890074
mqtt-qos1,16,1,1mbit,0%,20ms,20,100.0,22.799992561340332,1.8135557195311183,128.0,1765111893.246928
mqtt-qos1,16,1,1mbit,0%,100ms,100,100.0,103.90002727508545,2.726388379865125,128.0,1765111913.371922
mqtt-qos1,16,1,1mbit,0%,500ms,500,100.0,518.4000253677368,7.089916369219716,128.0,1765111935.086377
mqtt-qos1,16,1,1mbit,1%,0ms,0,100.0,1.4999866485595703,0.9718366598955341,128.0,1765111954.7047749
mqtt-qos1,16,1,1mbit,1%,20ms,20,100.0,23.400044441223145,3.1692830979452133,128.0,1765111974.425198
mqtt-qos1,16,1,1mbit,1%,100ms,100,100.0,103.09998989105225,2.923109217872422,128.0,1765111994.199136
