Protocol,Size,Rate,Bandwidth,Loss,ConfigDelay_ms,Sent,Received,DeliveryRatio,LatencyAvg_ms,Jitter_ms,Throughput_bps
mqtt,16,1,1mbit,5%,20,10,10,100.0,55.085110664367676,79.61492272781747,128.0
mqtt,16,1,1mbit,5%,100,10,10,100.0,127.22547054290773,63.23939352439432,128.0
mqtt,16,1,1mbit,5%,500,10,7,70.0,895.1958928789411,519.0486321441318,89.6
mqtt,16,1,1mbit,10%,0,10,13,130.0,1624.0545052748462,3026.372424340745,166.4
mqtt,16,1,1mbit,10%,20,10,10,100.0,82.6167106628418,108.37918357206182,128.0
mqtt,16,1,1mbit,10%,100,10,10,100.0,138.9404296875,62.48397275460299,128.0
mqtt,16,1,1mbit,10%,500,10,10,100.0,906.0778379440308,452.8755547187851,128.0
mqtt,16,1,0,0%,0,10,10,100.0,1.4967918395996094,0.45379758640371726,128.0
mqtt,16,1,0,0%,20,10,10,100.0,1.5218496322631836,0.4623460293198089,128.0
mqtt,16,1,0,0%,100,10,10,100.0,1.5450239181518555,0.6262075268879498,128.0
mqtt,16,1,0,0%,500,10,10,100.0,1.5207767486572266,0.5215139633500273,128.0
mqtt,16,1,0,1%,0,10,10,100.0,1.607513427734375,0.5132892468900537,128.0
mqtt,16,1,0,1%,20,10,10,100.0,1.5621423721313477,0.5308008118982983,128.0
mqtt,16,1,0,1%,100,10,10,100.0,1.4917373657226562,0.5378164503983826,128.0
mqtt,16,1,0,1%,500,10,10,100.0,1.3932228088378906,0.44988163316459157,128.0
mqtt,16,1,0,5%,0,10,10,100.0,1.4070749282836914,0.5001675305428845,128.0
mqtt,16,1,0,5%,20,10,10,100.0,1.7316579818725586,0.5596421161426509,128.0
mqtt,16,1,0,5%,100,10,10,100.0,1.1709213256835938,0.5263888062894914,128.0
mqtt,16,1,0,5%,500,10,10,100.0,1.4969348907470703,0.44442316309263846,128.0
mqtt,16,1,0,10%,0,10,10,100.0,1.6120672225952148,0.4915214134041132,128.0
mqtt,16,1,0,10%,20,10,10,100.0,1.5068531036376953,0.48313878803362964,128.0
mqtt,16,1,0,10%,100,10,10,100.0,1.2009859085083008,0.46056420934669223,128.0
mqtt,16,1,0,10%,500,10,10,100.0,1.2432098388671875,0.5192412453640017,128.0
mqtt,16,10,50kbit,0%,0,100,100,100.0,23.587236404418945,4.244185124028815,1280.0
mqtt,16,10,50kbit,0%,20,100,100,100.0,45.89770793914795,13.999880934263572,1280.0
mqtt,16,10,50kbit,0%,100,100,100,100.0,258.9708662033081,72.83478771942923,1280.0
mqtt,16,10,50kbit,0%,500,100,100,100.0,1179.709963798523,328.3188611616779,1280.0
mqtt,16,10,50kbit,1%,0,100,100,100.0,25.341980457305908,15.432518968576094,1280.0
mqtt,16,10,50kbit,1%,20,100,100,100.0,72.9422378540039,80.26074986160816,1280.0
mqtt,16,10,50kbit,1%,100,100,100,100.0,260.3597855567932,72.40911770806858,1280.0
mqtt,16,10,50kbit,1%,500,100,100,100.0,2762.6085925102234,1840.5844813924755,1280.0
mqtt,16,10,50kbit,5%,0,100,100,100.0,39.742112159729004,57.907216665576556,1280.0
mqtt,16,10,50kbit,5%,20,100,100,100.0,145.6217336654663,162.91403075247933,1280.0
mqtt,16,10,50kbit,5%,100,100,100,100.0,507.8772139549256,405.6321935699786,1280.0
mqtt,16,10,50kbit,5%,500,100,100,100.0,1167.758378982544,323.5112237921006,1280.0
mqtt,16,10,50kbit,10%,0,100,100,100.0,179.54434871673584,269.2490926813029,1280.0
mqtt,16,10,50kbit,10%,20,100,100,100.0,174.08443927764893,181.3492620271518,1280.0
mqtt,16,10,50kbit,10%,100,100,100,100.0,536.0971903800964,365.97416176542555,1280.0
mqtt,16,10,50kbit,10%,500,100,100,100.0,1788.0545544624329,1184.7396810144412,1280.0
mqtt,16,10,100kbit,0%,0,100,100,100.0,12.763681411743164,2.0129383948028154,1280.0
mqtt,16,10,100kbit,0%,20,100,100,100.0,35.47119617462158,9.692249184389564,1280.0
mqtt,16,10,100kbit,0%,100,100,100,100.0,229.17477369308472,66.76818810382748,1280.0
mqtt,16,10,100kbit,0%,500,100,100,100.0,1074.3348598480225,305.9110626536104,1280.0
mqtt,16,10,100kbit,1%,0,100,100,100.0,25.411357879638672,48.52431345458878,1280.0
mqtt,16,10,100kbit,1%,20,100,100,100.0,45.11875867843628,46.54571411435583,1280.0
mqtt,16,10,100kbit,1%,100,100,100,100.0,262.59965658187866,137.86322803283528,1280.0
mqtt,16,10,100kbit,1%,500,100,100,100.0,1125.2220249176025,330.03474682981795,1280.0
mqtt,16,10,100kbit,5%,0,100,100,100.0,61.76668882369995,111.37556484242663,1280.0
mqtt,16,10,100kbit,5%,20,100,100,100.0,209.3636679649353,328.51022938028206,1280.0
mqtt,16,10,100kbit,5%,100,100,100,100.0,266.40021324157715,119.32437180292658,1280.0
